CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1890828,16000436427,2016436427,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,12/04/2016 04:43:28 PM,15 AV NW / NW 45 ST,B,B1,4700.2064,-122.37611,47.661533,"(47.661533, -122.37611)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,12/04/2016 03:47:25 PM
704913,12000004902,20124902,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,01/05/2012 06:31:00 PM,55XX BLOCK OF BROOKLYN AVE NE,U,U3,4400.5011,-122.314156679,47.668997121,"(47.668997121, -122.314156679)",,,,
1496130,15000256408,2015256408,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,07/26/2015 01:49:00 AM,20 AV / E JEFFERSON ST,G,G2,8700.2003,-122.306332002,47.606165001,"(47.606165001, -122.306332002)",SHOTS -DELAY/INCLUDES HEARD/NO ASSAULT,WEAPONS CALLS,GUN CALLS,
40757,10000282741,2010282741,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,08/14/2010 02:41:00 AM,1XX BLOCK OF MERCER ST,Q,Q3,7000.3016,-122.35344532,47.624574133,"(47.624574133, -122.35344532)",,,,
769011,12000103655,2012103655,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,04/06/2012 01:07:00 AM,26XX BLOCK OF CALIFORNIA AVE SW,W,W1,9800.8002,-122.386583566,47.580252744,"(47.580252744, -122.386583566)",,,,
745322,12000065061,201265061,161,TRESPASS ,TRESPASS,TRESPASS,03/03/2012 03:49:00 AM,15XX BLOCK OF 10TH AVE,C,C2,7500.4008,-122.319456129,47.614665149,"(47.614665149, -122.319456129)",,,,
1701158,16000100967,2016100967,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/23/2016 08:38:48 PM,19XX BLOCK OF PIKE PL,M,M1,8002.1008,-122.34282,47.61002,"(47.61002, -122.34282)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/23/2016 01:18:51 PM
127483,10000409414,2010409414,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF ",11/26/2010 03:21:00 PM,26XX BLOCK OF SW JUNEAU ST,E,E1,7400.2002,-122.365885172,47.550135067,"(47.550135067, -122.365885172)",,,,
1981298,17000138986,2017138986,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,04/21/2017 01:35:46 PM,11XX BLOCK OF LAKESIDE AV S,G,G3,8900.1026,-122.28786,47.5928,"(47.5928, -122.28786)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1535267,15000303650,2015303650,415,BLOCKING VEHICLE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,08/30/2015 08:58:00 PM,141XX BLOCK OF LINDEN AV N,N,N2,401.1006,-122.347771827,47.731676965,"(47.731676965, -122.347771827)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,08/30/2015 03:52:00 PM
2159375,14000317038,2014317038,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,09/22/2014 09:30:00 AM,XX BLOCK OF VIRGINIA ST,M,M3,8002.1008,-122.34325825,47.610568808,"(47.610568808, -122.34325825)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,09/22/2014 07:44:00 AM
1894311,16000443072,2016443072,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,12/09/2016 10:37:11 PM,1XX BLOCK OF ALOHA ST,Q,Q3,7000.3008,-122.353424,47.627182,"(47.627182, -122.353424)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
125231,10000405922,2010405922,053,BURGLARY - UNOCCUPIED STRUCTURE ON RESIDENTIAL PROPERTY,RESIDENTIAL BURGLARIES,BURGLARY,11/21/2010 07:11:00 PM,7XX BLOCK OF NW 105TH ST,U,U2,5200.5007,-122.365803263,47.705156275,"(47.705156275, -122.365803263)",,,,
582786,15000034369,201534369,064,SHOPLIFT,THEFT,SHOPLIFTING,01/30/2015 05:28:00 PM,4XX BLOCK OF NE NORTHGATE WY,L,L2,1200.4010,-122.324615155,47.7086028,"(47.7086028, -122.324615155)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,01/30/2015 05:16:00 PM
1532466,15000300655,2015300655,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,08/28/2015 10:07:00 AM,5XX BLOCK OF 3 AV,K,K2,8100.2043,-122.331082197,47.602412415,"(47.602412415, -122.331082197)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1865479,16000390945,2016390945,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,10/28/2016 08:35:02 PM,9XX BLOCK OF PINE ST,M,M2,8300.2012,-122.33136,47.613266,"(47.613266, -122.33136)",TRU - THEFT,OTHER PROPERTY,THEFT,10/28/2016 07:53:28 PM
769679,12000102840,2012102840,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,04/05/2012 01:36:00 PM,S GENESEE ST / LETITIA AV S,R,R1,10100.4007,-122.289367773,47.56412942,"(47.56412942, -122.289367773)",,,,
1828444,16000325167,2016325167,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,09/07/2016 10:10:24 PM,5 AV NE / NE 40 ST,B,B3,5200.3003,-122.32351,47.655823,"(47.655823, -122.32351)","TRU- MOTOR VEHICLE COLLISION, HIT AND RUN AFTER THE FACT",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,09/07/2016 09:09:43 PM
2022317,17000214347,2017214347,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,06/14/2017 07:40:28 PM,UNIVERSITY ST / MINOR AV,E,E3,8300.2016,-122.32599,47.611942,"(47.611942, -122.32599)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,
1734800,16000164315,2016164315,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,05/11/2016 02:56:09 PM,33XX BLOCK OF W COMMODORE WY,Q,Q1,5700.5003,-122.40421,47.665913,"(47.665913, -122.40421)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
129035,10000411627,2010411627,361,FOUND PERSON,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",11/28/2010 06:52:00 PM,91XX BLOCK OF 16TH AVE S,R,R1,10100.4001,-122.310960984,47.521624902,"(47.521624902, -122.310960984)",,,,
81466,10000341910,2010341910,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,09/30/2010 01:03:00 PM,11XX BLOCK OF MADISON ST,D,D3,8300.1000,-122.324583879,47.609570173,"(47.609570173, -122.324583879)",,,,
1679969,16000066120,201666120,064,SHOPLIFT,THEFT,SHOPLIFTING,02/24/2016 10:19:02 AM,2XX BLOCK OF PIKE ST,M,M3,8100.2015,-122.33835,47.609516,"(47.609516, -122.33835)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,
1057815,15000110456,2015110456,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,04/04/2015 10:56:00 PM,DENNY WY / BELL ST,D,D2,7200.1047,-122.339835689,47.618539757,"(47.618539757, -122.339835689)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,04/04/2015 10:35:00 PM
1507053,15000269627,2015269627,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,08/05/2015 04:08:00 AM,NE 125 ST / 35 AV NE,L,L3,100.3003,-122.290787919,47.719252354,"(47.719252354, -122.290787919)","MOTOR VEHICLE COLLISION, UNKNOWN INJURIES",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,08/05/2015 12:13:00 AM
1518584,15000283761,2015283761,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,08/15/2015 03:11:00 PM,NE 65 ST / NE RAVENNA BV,J,J3,3600.4007,-122.322334716,47.675869488,"(47.675869488, -122.322334716)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,08/15/2015 01:26:00 PM
808777,12000161325,2012161325,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,05/25/2012 02:15:00 PM,4 AV / PINE ST,K,K1,8100.2001,-122.337595941,47.611207077,"(47.611207077, -122.337595941)",,,,
1683251,16000071457,201671457,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,02/28/2016 04:58:51 PM,18XX BLOCK OF N 45 ST,B,B3,5100.1023,-122.335686,47.661385,"(47.661385, -122.335686)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,02/28/2016 04:49:05 PM
1245455,11000055539,201155539,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,02/16/2011 08:23:00 AM,62XX BLOCK OF 34TH AVE NE,L,L3,4200.7004,-122.291150108,47.674882825,"(47.674882825, -122.291150108)",,,,
2135485,14000265521,2014265521,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/11/2014 12:34:00 PM,143XX BLOCK OF INTERLAKE AV N,N,N1,300.3002,-122.341325335,47.733221226,"(47.733221226, -122.341325335)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
135031,10000421164,2010421164,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,12/06/2010 11:33:00 PM,27XX BLOCK OF ELLIOTT AVE,M,M1,8001.3014,-122.352802405,47.614748642,"(47.614748642, -122.352802405)",,,,
1734948,16000164687,2016164687,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,05/11/2016 06:39:04 PM,1 AV / MADISON ST,K,K1,8100.1031,-122.33624,47.604694,"(47.604694, -122.33624)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1843234,16000351176,2016351176,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,09/27/2016 07:24:30 PM,44XX BLOCK OF GREENWOOD AV N,B,B2,4900.5022,-122.35517,47.66115,"(47.66115, -122.35517)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1133128,15000217889,2015217889,202,ALARMS - COMMERCIAL PANIC (FALSE),PANIC ALARMS (FALSE),FALSE ALARMS,06/27/2015 08:48:00 PM,21XX BLOCK OF 1 AV N,Q,Q2,6800.1011,-122.355592529,47.637867733,"(47.637867733, -122.355592529)","ALARM - COMM, HOLD-UP/PANIC (EXCEPT BANKS)",ALARMS,SUSPICIOUS CIRCUMSTANCES,
1066543,15000122625,2015122625,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,04/15/2015 11:19:00 AM,16 AV / E JEFFERSON ST,G,G2,8700.1022,-122.311554577,47.606179528,"(47.606179528, -122.311554577)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
2245358,15000011817,201511817,204,ALARMS - VEHICLE (FALSE),VEHICLE ALARMS (FALSE),FALSE ALARMS,01/11/2015 09:10:00 PM,33XX BLOCK OF BEACH DR SW,W,W1,9701.3007,-122.418615294,47.574865603,"(47.574865603, -122.418615294)",ALARM - AUDIBLE AUTOMOBILE (UNOCC/ANTI-THEFT),ALARMS,SUSPICIOUS CIRCUMSTANCES,
1759792,16000208363,2016208363,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,06/12/2016 03:54:36 AM,1XX BLOCK OF OCCIDENTAL AV S,K,K2,9200.2006,-122.33288,47.6013,"(47.6013, -122.33288)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,06/12/2016 01:51:15 AM
744175,12000063435,201263435,200,ALARMS - COMMERCIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,03/01/2012 10:41:00 PM,46XX BLOCK OF 26TH AVE NE,U,U2,4300.2010,-122.299864508,47.66205303,"(47.66205303, -122.299864508)",,,,
806361,12000157682,2012157682,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,05/22/2012 01:47:00 PM,23XX BLOCK OF RAINIER AVE S,O,O1,9400.3038,-122.301663878,47.582954126,"(47.582954126, -122.301663878)",,,,
1635502,15000441588,2015441588,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,12/21/2015 11:08:26 PM,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.33081,47.600464,"(47.600464, -122.33081)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
869970,12000258137,2012258137,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,08/06/2012 12:59:00 PM,NW MARKET ST / BARNES AV NW,J,J2,4700.4001,-122.380356445,47.668671804,"(47.668671804, -122.380356445)",,,,
1797705,16000272908,2016272908,161,TRESPASS,TRESPASS,TRESPASS,07/30/2016 02:35:30 AM,21XX BLOCK OF 26 AV W,Q,Q1,5802.3027,-122.390366,47.63805,"(47.63805, -122.390366)",TRESPASS,TRESPASS,TRESPASS,07/30/2016 01:40:25 AM
836179,12000203680,2012203680,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,06/28/2012 12:49:00 PM,51XX BLOCK OF 13TH AVE S,R,R2,10400.6010,-122.316118986,47.556009701,"(47.556009701, -122.316118986)",,,,
1111528,15000186675,2015186675,200,ALARMS - COMMERCIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,06/05/2015 08:15:00 AM,1XX BLOCK OF YESLER WY,K,K2,9200.2006,-122.334038713,47.601722113,"(47.601722113, -122.334038713)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALARMS,SUSPICIOUS CIRCUMSTANCES,
1829374,16000329930,2016329930,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,09/11/2016 08:35:41 PM,12 AV E / E HARRISON ST,E,E1,7500.3011,-122.31678,47.621964,"(47.621964, -122.31678)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,09/11/2016 04:58:04 PM
1708002,16000114881,2016114881,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,04/03/2016 03:04:17 PM,47XX BLOCK OF 12 AV NE,U,U2,5301.2004,-122.315254,47.664013,"(47.664013, -122.315254)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,
1968655,17000115270,2017115270,350,HAZARDS,HAZARDS,HAZARDS,04/02/2017 03:58:39 PM,RAINIER AV S / S CHARLESTOWN ST,R,R2,10100.4005,-122.2907,47.56977,"(47.56977, -122.2907)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,04/02/2017 03:30:22 PM
828409,12000191008,2012191008,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,06/18/2012 05:47:00 PM,30XX BLOCK OF E HOWELL ST,C,C3,7700.2005,-122.292952529,47.617605701,"(47.617605701, -122.292952529)",,,,
1710524,16000119271,2016119271,176,LIQUOR VIOLATION - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,04/07/2016 09:08:42 AM,43XX BLOCK OF 4 AV NW,B,B2,4800.3000,-122.361885,47.65973,"(47.65973, -122.361885)",LIQUOR VIOLATIONS - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
551862,11000135723,2011135723,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",04/29/2011 09:02:00 AM,60XX BLOCK OF 16TH AVE SW,F,F1,10800.1003,-122.35483058,47.549258383,"(47.549258383, -122.35483058)",,,,
722953,12000031950,201231950,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,02/02/2012 11:32:00 AM,9XX BLOCK OF 6TH AVE,K,K1,8200.2005,-122.330363985,47.606659534,"(47.606659534, -122.330363985)",,,,
1745828,16000183924,2016183924,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,05/25/2016 07:03:55 PM,28 AV S / S HOLGATE ST,R,R2,9500.2036,-122.2964,47.58632,"(47.58632, -122.2964)",DUI - DRIVING UNDER INFLUENCE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
659987,12000256782,2012256782,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,08/05/2012 08:24:00 AM,LAKE CITY WY NE / 20 AV NE,U,U1,2100.3009,-122.306851426,47.691233971,"(47.691233971, -122.306851426)",DUI - DRIVING UNDER INFLUENCE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1992736,17000159922,2017159922,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,05/07/2017 11:40:45 AM,15XX BLOCK OF NE 145 ST,L,L1,200.4001,-122.3114,47.733936,"(47.733936, -122.3114)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
1266745,11000016784,201116784,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,01/15/2011 02:22:00 AM,2 AV / VINE ST,M,M1,8001.1000,-122.348823114,47.61591148,"(47.61591148, -122.348823114)",,,,
1669665,16000048263,201648263,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,02/09/2016 06:00:05 PM,AIRPORT WY S / S VALE ST,O,O3,10900.2086,-122.316895,47.54924,"(47.54924, -122.316895)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,02/09/2016 04:00:37 PM
897588,12000305315,2012305315,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,09/10/2012 02:50:00 PM,7XX BLOCK OF 5TH AVE,K,K1,8500.1009,-122.330167721,47.60476953,"(47.60476953, -122.330167721)",SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),OTHER PROPERTY,THEFT,09/10/2012 01:40:00 PM
472869,11000348348,2011348348,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/25/2011 05:54:00 PM,VIRGINIA ST / WESTERN AV,M,M3,8100.1003,-122.343640321,47.610318115,"(47.610318115, -122.343640321)",,,,
1054065,15000105283,2015105283,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/31/2015 08:25:00 PM,BELMONT AV E / E DENNY WY,E,E1,7402.2002,-122.324005575,47.618482232,"(47.618482232, -122.324005575)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
760790,12000089070,201289070,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/24/2012 06:08:00 AM,16XX BLOCK OF HARVARD AVE,E,E2,8400.1001,-122.32213936,47.615810124,"(47.615810124, -122.32213936)",,,,
74284,10000331489,2010331489,261,"ANIMAL NOISE, STRAYS, BITES",ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,09/22/2010 12:55:00 AM,46XX BLOCK OF S WILLOW ST,S,S1,11101.1003,-122.273392393,47.540687838,"(47.540687838, -122.273392393)",,,,
1514023,15000278289,2015278289,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/11/2015 02:38:00 PM,47XX BLOCK OF LATONA AV NE,B,B3,5200.4004,-122.325067302,47.664073816,"(47.664073816, -122.325067302)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1983793,17000143585,2017143585,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,04/25/2017 02:03:54 AM,10XX BLOCK OF E HARRISON ST,E,E1,7500.3007,-122.31835,47.621975,"(47.621975, -122.31835)","NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",DISTURBANCES,NOISE DISTURBANCE,
976745,12000409990,2012409990,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,12/01/2012 01:49:00 AM,25 AV S / RAINIER AV S,R,R1,9500.6061,-122.30035855,47.581240723,"(47.581240723, -122.30035855)",,,,
1977458,17000131718,2017131718,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,04/15/2017 01:51:29 PM,36XX BLOCK OF 14 AV W,Q,Q2,5801.4053,-122.3749,47.653084,"(47.653084, -122.3749)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1296775,13000029314,201329314,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,01/26/2013 03:48:00 AM,3 AV / YESLER WY,K,K2,8100.2042,-122.33026735,47.601714919,"(47.601714919, -122.33026735)",,,,
840442,12000210489,2012210489,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF ",07/03/2012 12:35:00 PM,1 AV / DENNY WY,M,M1,7100.2018,-122.355455115,47.618600638,"(47.618600638, -122.355455115)",,,,
1967137,17000112076,2017112076,030,ARMED ROBBERY,GUN CALLS,ROBBERY,03/31/2017 12:54:55 PM,S EDMUNDS ST / M L KING JR WY S,R,R3,10300.4019,-122.291916,47.558674,"(47.558674, -122.291916)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,03/31/2017 06:04:18 AM
700326,11000415432,2011415432,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,12/30/2011 03:38:00 AM,21XX BLOCK OF 1ST AVE,M,M3,8002.1003,-122.344562703,47.612221863,"(47.612221863, -122.344562703)",,,,
1626845,15000426896,2015426896,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",12/09/2015 10:55:36 AM,2XX BLOCK OF 6 AV S,K,K3,9200.1008,-122.326355,47.600452,"(47.600452, -122.326355)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
743512,12000062293,201262293,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,03/01/2012 01:17:00 AM,15 AV NE / NE 120 ST,L,L2,600.2003,-122.312557901,47.715788574,"(47.715788574, -122.312557901)",,,,
102958,10000373736,2010373736,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10/26/2010 07:56:00 AM,18XX BLOCK OF HARVARD AVE,E,E1,7400.3004,-122.322177304,47.618148028,"(47.618148028, -122.322177304)",,,,
1975483,17000127924,2017127924,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",04/12/2017 03:10:44 PM,5 AV / PIKE ST,M,M3,8200.1004,-122.33558,47.610676,"(47.610676, -122.33558)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,04/12/2017 01:54:22 PM
48257,10000293952,2010293952,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/22/2010 08:48:00 PM,24XX BLOCK OF 30TH AVE W,Q,Q1,5700.3016,-122.395660349,47.640358201,"(47.640358201, -122.395660349)",,,,
1500591,15000261683,2015261683,200,ALARMS - COMMERCIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,07/30/2015 07:52:00 AM,5XX BLOCK OF 1 AV S,K,K2,9300.2015,-122.334191717,47.597380193,"(47.597380193, -122.334191717)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALARMS,SUSPICIOUS CIRCUMSTANCES,
2035797,14000176522,2014176522,071,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,06/04/2014 01:08:00 PM,49XX BLOCK OF 15 AV S,R,R2,10400.7004,-122.313442081,47.557521493,"(47.557521493, -122.313442081)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,06/04/2014 12:34:00 PM
1854288,16000370853,2016370853,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,10/13/2016 05:55:20 AM,113XX BLOCK OF LAKE CITY WY NE,L,L3,1000.1005,-122.2991,47.71184,"(47.71184, -122.2991)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,10/13/2016 03:39:39 AM
28117,10000264506,2010264506,415,BLOCKING VEHICLE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,07/31/2010 12:26:00 PM,18XX BLOCK OF N NORTHGATE WAY,N,N1,1200.5002,-122.335093932,47.708169128,"(47.708169128, -122.335093932)",,,,
