psraid,sample,int_date,state,sex,"[Q1] Overall, how would you rate your community as a place to live? Would you say it is","[Q3] Overall, how would you rate the economy in your community today? ","[eminuse] Do you use the internet or email, at least occasionally? ","[intmob] Do you access the internet on a cell phone, tablet or other mobile handheld device, at least occasionally?",[intfreq] About how often do you use the internet?,[home4nw] Do you currently subscribe to internet service at HOME? ,"[device1a] Next, do you have a cell phone, or not? ",smartphone,[q5a] Please tell me if you ever use your cell phone to do any of the following things. Do you ever use your cell phone to Participate in a video call or video chat?,"[q5b] Buy a product online, such as books, music, toys or clothing","[q5c] Get directions, recommendations, or other information related to your location",[q5d] Get sports scores or analysis ,[q5e] Watch movies or TV shows through a paid subscription service like NetFlix or Hulu Plus ,"[q5f] Listen to an online radio or music service, such as Pandora or Spotify","[date1a] Have YOU, personally, ever used an online dating site such as Match.com, eHarmony, or OK Cupid?",[date2a] Have you ever used a dating app on your cell phone? ,[date3a] Do you personally know anyone who has Used an online dating site or app?,[date3b] Do you personally know anyone who has been in a long-term relationship with or married someone they met through an online dating site or app?,[date4a] Online dating is a good way to meet people,[date4b] Online dating allows people to find a better match for themselves because they can get to know a lot more people,[date4c] People who use online dating sites are desperate,[date4d] Online dating keeps people from settling down because they always have options for people to date,[date4e] Online dating is easier and more efficient than other ways of meeting people ,[date4f] Online dating is more dangerous than other ways of meeting people ,age,"[marital] Are you currently married, living with a partner, divorced, separated, widowed, or have you never been married? ","[hh1] How many adults age 18 and over currently live in your household, INCLUDING YOURSELF?",[educ2] What is the highest level of school you have completed or the highest degree you have received?,"[party] In politics TODAY, do you consider yourself a Republican, Democrat, or independent?","[ideo] In general, would you describe your political views as ",income,zipcode
103222,1,62815,12,Female,2,3,1,2,3,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,Yes,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,77,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Democrat,Moderate,"100 to under $150,000",33565
103224,1,62815,39,Female,2,3,1,1,2,1,Yes,Not sure/Don't know,No,Yes,Yes, , , ,No, ,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,48,Married,3,Two year associate degree from a college or university,Independent,Moderate,"50 to under $75,000",45662
103228,1,62815,12,Female,2,3,1,1,2,1,Yes,"Yes, smartphone",Yes,Yes,Yes, , , ,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,55,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Republican,Moderate,"100 to under $150,000",33322
103231,1,62815,12,Female,2,2,1,1,2,1,No, , , , , , , ,No, ,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,68,Never been married,2,High school graduate (Grade 12 with diploma or GED certificate),Democrat,"Liberal, OR","30 to under $40,000",33166
103234,1,62815,24,Female,2,2,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,No,No,No,No,No,No,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,57,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,"Liberal, OR","30 to under $40,000",21048
103238,1,62815,55,Female,2,3,1,1,2,1,Yes,"Yes, smartphone",Yes,Yes,Yes, , , ,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DON'T KNOW,68,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Very liberal?,"75 to under $100,000",53207
103240,1,62815,55,Male,2,2,1,1,1,1,Yes,"Yes, smartphone", , , ,Yes,Yes,Yes,No,No,Yes,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,32,Married,2,Two year associate degree from a college or university,Democrat,Moderate,"50 to under $75,000",53218
103241,1,63015,48,Male,2,2,1,2,3,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,Yes,Yes,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,86,Widowed,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Republican,Conservative,"50 to under $75,000",78218
103255,1,62815,48,Male,1,2,1,1,1,1,Yes,"Yes, smartphone",No,No,Yes, , , ,Yes,No,Yes,Yes,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,42,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Independent,Moderate,"$150,000 or more",76226
103259,1,62915,17,Female,2,4,2,2, , ,No, , , , , , , , , ,No,No,DISAGREE,DON'T KNOW,DISAGREE,DON'T KNOW,AGREE,DISAGREE,76,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Independent,"Liberal, OR","100 to under $150,000",62864
103268,1,62815,1,Female,2,2,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,No,No,No,Yes,Yes,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,48,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Republican,Conservative,"100 to under $150,000",36832
103273,1,62815,55,Male,1,2,1,2,3,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,Yes,No,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,62,Married,1,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Independent,Very conservative,"40 to under $50,000",54302
103274,1,62815,28,Female,1,2,1,1,5,1,Yes,"Yes, smartphone", , , ,No,No,No,No,No,No,No,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,42,Married,2,Two year associate degree from a college or university,Republican,Conservative,"20 to under $30,000",38833
103283,1,70215,39,Female,1,3,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,No,No,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,78,Married,2,Less than high school (Grades 1-8 or no formal schooling),Republican,(VOL.) Don't know,(VOL.) Don't know,45771
103289,1,62915,37,Male,1,2,1,2,4,1,No, , , , , , , ,No, ,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DON'T KNOW,DON'T KNOW,84,Widowed,1,Two year associate degree from a college or university,Independent,Moderate,"30 to under $40,000",27534
103291,1,62915,36,Male,1,4,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,Yes,Yes,No,No,No,No,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,18,Never been married,3,High school graduate (Grade 12 with diploma or GED certificate),Republican,Conservative,"$150,000 or more",11758
103292,1,62915,26,Male,2,3,1,2,1,1,Yes,"No, not a smartphone", , , ,No,No,No,Yes, ,No,8,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,64,Never been married,1,"Some college, no degree (includes some community college)",Independent,Moderate,"10 to under $20,000",48198
103299,1,62915,18,Male,3,4,1,1,2,1,Yes,"Yes, smartphone",Yes,No,No, , , ,No,No,Yes,Yes,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,45,Never been married,1,Two year associate degree from a college or university,(VOL.) No preference,Very liberal?,"20 to under $30,000",47802
103302,1,70215,21,Female,1,2,1,1,3,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,No,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,51,Divorced,2,High school graduate (Grade 12 with diploma or GED certificate),Republican,Moderate,"Less than $10,000",40356
103304,1,70215,36,Male,3,3,1,1,4,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,No,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,57,Married,2,"Some college, no degree (includes some community college)",(VOL.) Refused,Conservative,"50 to under $75,000",13830
103306,1,70215,54,Female,1,4,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,No,No,AGREE,AGREE,AGREE,AGREE,DON'T KNOW,AGREE,83,Widowed,1,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Independent,Conservative,(VOL.) Don't know,26836
103319,1,62915,34,Male,2,2,1,1,4,1,Yes,"Yes, smartphone",No,Yes,Yes, , , ,No,No,No,No,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,48,Married,4,High school graduate (Grade 12 with diploma or GED certificate),Independent,Conservative,"100 to under $150,000",8094
103322,1,62915,27,Female,1,2,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,Yes,No,No,Yes,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,45,Married,3,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,"Liberal, OR","75 to under $100,000",55906
103323,1,62915,55,Female,1,2,2,2, , ,Yes,"No, not a smartphone", , , ,No,No,No, , ,Yes,No,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,78,Widowed,2,"Some college, no degree (includes some community college)",(VOL.) No preference,(VOL.) Refused,(VOL.) Refused,54895
103325,1,62915,37,Female,1,3,2,1,5,2,Yes,Not sure/Don't know, , , ,No,No,No,No, ,No,No,8,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,80,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Republican,Conservative,"30 to under $40,000",28399
103328,1,62915,27,Male,2,3,1,1,2,1,Yes,"Yes, smartphone",No,Yes,Yes, , , ,No,No,Yes,Yes,8,DISAGREE,DISAGREE,DISAGREE,DON'T KNOW,DISAGREE,60,Married,4,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Conservative,"100 to under $150,000",55391
103350,1,62915,17,Female,3,3,1,1,2,1,Yes,"Yes, smartphone",No,Yes,Yes, , , ,No,No,No,Yes,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,66,Divorced,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Very liberal?,"20 to under $30,000",62206
103358,1,62915,18,Male,1,2,1,2,5,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,No,DISAGREE,DISAGREE,DISAGREE,DON'T KNOW,DISAGREE,AGREE,80,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",(VOL.) No preference,Conservative,(VOL.) Refused,47274
103359,1,62915,26,Female,1,3,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,No,No,DISAGREE,DISAGREE,DISAGREE,DON'T KNOW,DISAGREE,AGREE,85,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Moderate,"10 to under $20,000",49868
103369,1,62915,9,Female,1,1,1,1,3,1,Yes,"Yes, smartphone", , , ,No,No,No,No,No,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,69,Widowed,1,"Some college, no degree (includes some community college)",Independent,Moderate,"30 to under $40,000",6488
103379,1,70215,39,Female,1,3,1,2,2,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,Yes,No,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,61,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,Very liberal?,"100 to under $150,000",43214
103380,1,62915,26,Female,3,4,1,1,1,1,Yes,"Yes, smartphone", , , ,No,No,No,No,No,Yes,No,DISAGREE,DISAGREE,DON'T KNOW,AGREE,DISAGREE,AGREE,42,Married,3,High school graduate (Grade 12 with diploma or GED certificate),Independent,(VOL.) Don't know,"20 to under $30,000",49424
103388,1,62915,42,Female,2,2,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,Yes,No,No,Yes,Yes,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,44,Divorced,1,Two year associate degree from a college or university,Independent,Conservative,(VOL.) Refused,19342
103390,1,63015,39,Female,1,8,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,No,No,AGREE,REFUSED,DISAGREE,DON'T KNOW,AGREE,DISAGREE,55,Married,2,"Some college, no degree (includes some community college)",Republican,Very conservative,"50 to under $75,000",43204
103394,1,62915,37,Female,1,2,1,1,2,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,Yes,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,55,Married,4,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Very liberal?,"20 to under $30,000",27540
103399,1,62915,24,Female,2,2,1,1,2,2,Yes,"Yes, smartphone", , , ,No,Yes,No,No,No,No,No,DISAGREE,DISAGREE,DON'T KNOW,DISAGREE,DISAGREE,AGREE,59,Married,3,High school graduate (Grade 12 with diploma or GED certificate),Democrat,Conservative,"100 to under $150,000",20659
103413,1,70215,5,Female,2,3,1,1,1,1,Yes,"Yes, smartphone",Yes,Yes,Yes, , , ,No,No,No,No,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,46,Married,4,Two year associate degree from a college or university,Republican,Conservative,"50 to under $75,000",72150
103420,1,70215,45,Male,1,3,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,No,Yes,No,No,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,67,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Republican,Conservative,"100 to under $150,000",29621
103421,1,62915,13,Female,2,2,1,1,2,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,No,No,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,50,Married,3,Two year associate degree from a college or university,Independent,Moderate,(VOL.) Refused,31406
103423,1,70515,27,Female,1,1,2,2, , ,Yes,"No, not a smartphone", , , ,No,No,No, , ,8,No,DISAGREE,DON'T KNOW,DISAGREE,DISAGREE,DISAGREE,DISAGREE,83,Widowed,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,"Liberal, OR","75 to under $100,000",55408
103425,1,71215,26,Female,1,2,1,1,3,1,No, , , , , , , ,No, ,No,No,DISAGREE,AGREE,DON'T KNOW,DISAGREE,DISAGREE,AGREE,48,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Independent,Moderate,"20 to under $30,000",48416
103428,1,62915,48,Male,2,1,1,1,3,1,No, , , , , , , ,No, ,No,Yes,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,73,Married,2,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Independent,(VOL.) Don't know,"50 to under $75,000",79109
103438,1,62915,55,Male,1,2,1,2,3,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,8,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,61,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Independent,Moderate,"50 to under $75,000",54220
103439,1,62915,30,Female,2,8,1,1,2,1,Yes,"No, not a smartphone", , , ,No,No,No,Yes, ,No,No,AGREE,AGREE,DISAGREE,DISAGREE,DON'T KNOW,AGREE,57,#N/A,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Very liberal?,"10 to under $20,000",59105
103449,1,62915,6,Female,1,2,2,2, , ,Yes,"No, not a smartphone", , , ,No,No,No, , ,No,No,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,83,Widowed,1,High school graduate (Grade 12 with diploma or GED certificate),Republican,Moderate,"10 to under $20,000",92040
103452,1,70515,8,Female,1,2,1,1,5,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,No,No,DISAGREE,DISAGREE,AGREE,DON'T KNOW,AGREE,AGREE,69,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Independent,Conservative,"50 to under $75,000",80620
103455,1,70515,53,Female,2,2,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,No,No,DISAGREE,DISAGREE,DISAGREE,DON'T KNOW,DISAGREE,AGREE,80,Married,2,"Some college, no degree (includes some community college)",Independent,"Liberal, OR","30 to under $40,000",98272
103457,1,62915,41,Male,2,2,2,2, , ,No, , , , , , , , , ,No,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,69,Widowed,1,"Some college, no degree (includes some community college)",Democrat,Moderate,"10 to under $20,000",97058
103464,1,62915,6,Female,1,2,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,Yes,Yes,No,No,Yes,Yes,AGREE,DON'T KNOW,DISAGREE,DISAGREE,AGREE,DISAGREE,32,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Republican,Conservative,"100 to under $150,000",94523
103466,1,70515,6,Male,2,3,1,1,2,1,Yes,"Yes, smartphone",Yes,No,Yes, , , ,No,No,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,26,Never been married,4,High school graduate (Grade 12 with diploma or GED certificate),(VOL.) Don't know,(VOL.) Don't know,"10 to under $20,000",91932
103467,1,62915,32,Female,1,1,1,1,1,1,Yes,"Yes, smartphone", , , ,No,Yes,Yes,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,73,Widowed,1,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Republican,Moderate,"30 to under $40,000",89134
103468,1,62915,35,Female,1,3,2,2, , ,Yes,"No, not a smartphone", , , ,No,No,No, , ,No,No,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,87,Widowed,1,High school graduate (Grade 12 with diploma or GED certificate),(VOL.) No preference,Very conservative,(VOL.) Refused,88011
103471,1,63015,25,Male,1,1,1,1,5,1,Yes,Not sure/Don't know, , , ,No,No,Yes,No, ,No,No,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,30,Never been married,1,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Republican,Very conservative,"Less than $10,000",1420
103498,1,63015,36,Female,2,3,2,2, , ,No, , , , , , , , , ,No,No,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,75,Widowed,1,High school graduate (Grade 12 with diploma or GED certificate),Republican,Moderate,"Less than $10,000",14456
103503,1,63015,48,Female,2,3,1,1,3,1,No, , , , , , , ,No, ,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,66,Married,3,Less than high school (Grades 1-8 or no formal schooling),(VOL.) Don't know,Conservative,"10 to under $20,000",76426
103506,1,63015,42,Female,2,2,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,Yes,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,55,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,"Liberal, OR","$150,000 or more",19341
103510,1,63015,39,Female,2,2,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,No,No,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,59,Married,3,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Moderate,"75 to under $100,000",44092
103513,1,63015,36,Female,1,3,1,1,4,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,No,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,53,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Very liberal?,"100 to under $150,000",14075
103524,1,63015,24,Female,2,3,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,Yes,No,No,No,Yes,No,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,72,Never been married,3,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,Very liberal?,"75 to under $100,000",20781
103528,1,63015,42,Female,2,2,1,1,1,1,Yes,"Yes, smartphone", , , ,Yes,No,Yes,No,No,No,No,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,61,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,Moderate,(VOL.) Refused,19606
103534,1,63015,12,Female,2,3,1,1,2,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,61,Married,3,"Some college, no degree (includes some community college)",Democrat,"Liberal, OR","50 to under $75,000",34470
103537,1,63015,39,Female,2,3,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,No,No,No,No,No,No,DISAGREE,DON'T KNOW,AGREE,DISAGREE,DISAGREE,AGREE,61,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Conservative,"40 to under $50,000",43614
103543,1,63015,42,Male,1,2,1,1,4,1,Yes,"Yes, smartphone",No,No,No, , , ,No,No,No,No,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,71,Married,2,High school graduate (Grade 12 with diploma or GED certificate),(VOL.) No preference,Moderate,"50 to under $75,000",19605
103546,1,63015,39,Male,3,3,1,1,4,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,No,No,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,50,Never been married,1,High school graduate (Grade 12 with diploma or GED certificate),Independent,Conservative,"30 to under $40,000",44052
103552,1,63015,36,Male,1,3,1,2,3,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,52,Divorced,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Moderate,"50 to under $75,000",13662
103559,1,63015,49,Female,1,3,1,1,5,1,No, , , , , , , ,No, ,No,No,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,71,Divorced,2,Two year associate degree from a college or university,Republican,Conservative,"Less than $10,000",84014
103561,1,63015,1,Male,1,3,1,1,4,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,79,Married,2,Two year associate degree from a college or university,Republican,Conservative,"75 to under $100,000",35570
103564,1,63015,19,Female,1,2,1,1,2,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,No,No,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,66,Never been married,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,"Liberal, OR","20 to under $30,000",50320
103569,1,63015,29,Male,2,2,1,1,1,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,Yes,No,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,31,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Very liberal?,"100 to under $150,000",65203
103571,1,63015,48,Female,1,1,1,2,2,1,Yes,"Yes, smartphone", , , ,No,No,No,No,No,No,No,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,50,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Republican,Very conservative,"75 to under $100,000",78259
103572,1,63015,48,Male,1,1,1,1,3,1,Yes,"Yes, smartphone", , , ,Yes,Yes,Yes,No,No,No,No,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,44,Married,3,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",(VOL.) No preference,(VOL.) Don't know,"20 to under $30,000",75203
103573,1,70515,1,Female,2,4,2,1,1,2,Yes,"Yes, smartphone", , , ,Yes,No,No,No,No,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,47,Married,3,Two year associate degree from a college or university,Republican,Conservative,"$150,000 or more",36855
103586,1,63015,6,Female,2,2,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,No,No,No,No,Yes,AGREE,AGREE,DISAGREE,DON'T KNOW,AGREE,DISAGREE,72,Widowed,1,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,"Liberal, OR","50 to under $75,000",92691
103595,1,63015,41,Female,1,2,1,2,2,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,No,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,74,Married,3,"Some college, no degree (includes some community college)",Republican,Conservative,"50 to under $75,000",97055
103603,1,63015,48,Female,2,3,1,2,2,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,Yes,No,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,36,Married,2,"Some college, no degree (includes some community college)",Republican,Conservative,"10 to under $20,000",75428
103610,1,70215,13,Male,1,3,1,2,4,1,Yes,"No, not a smartphone", , , ,No,No,No,Yes, ,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,66,Divorced,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Moderate,"30 to under $40,000",30338
103615,1,70215,45,Male,1,2,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,No,Yes,No,No,Yes,Yes,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,58,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Republican,Conservative,"$150,000 or more",29212
103616,1,70215,39,Male,2,2,1,2,5,1,No, , , , , , , ,No, ,No,No,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,58,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Conservative,"50 to under $75,000",44641
103617,1,70215,23,Male,1,2,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,No,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,55,Married,3,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,Very liberal?,"100 to under $150,000",4106
103618,1,70215,51,Male,1,2,1,2,3,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,AGREE,AGREE,DISAGREE,DON'T KNOW,AGREE,DISAGREE,73,Married,3,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,Moderate,(VOL.) Don't know,24019
103622,1,70215,39,Female,4,4,2,2, , ,No, , , , , , , , , ,No,No,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,58,Divorced,2,High school graduate (Grade 12 with diploma or GED certificate),Independent,Conservative,(VOL.) Don't know,43968
103623,1,70215,25,Male,1,2,1,2,2,1,Yes,"No, not a smartphone", , , ,No,No,No,Yes, ,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,88,Widowed,1,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,"Liberal, OR","40 to under $50,000",1606
103628,1,70215,42,Male,2,3,1,1,2,1,Yes,"Yes, smartphone",No,Yes,Yes, , , ,No,No,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,22,Never been married,4,High school graduate (Grade 12 with diploma or GED certificate),Independent,"Liberal, OR",(VOL.) Don't know,17545
103630,1,70215,23,Female,2,3,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,Yes,Yes,Yes,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,32,Never been married,2,High school graduate (Grade 12 with diploma or GED certificate),Independent,Very liberal?,"10 to under $20,000",4966
